Mod:Item:MetaData, Localized Name
chisel:concrete_blue:1, Blue Concrete
chisel:concrete_blue:2, Blue Concrete
chisel:concrete_blue:3, Blue Concrete
chisel:concrete_blue:4, Blue Concrete
chisel:concrete_blue:5, Blue Concrete
chisel:concrete_blue:6, Blue Concrete
chisel:concrete_blue:7, Blue Concrete
chisel:concrete_blue:8, Blue Concrete
chisel:concrete_blue:9, Blue Concrete
chisel:concrete_blue:10, Blue Concrete
chisel:concrete_blue:11, Blue Concrete
chisel:concrete_blue:12, Blue Concrete
chisel:concrete_blue:13, Blue Concrete
chisel:concrete_blue:14, Blue Concrete
chisel:concrete_blue:15, Blue Concrete
chisel:concrete_blue1:0, Blue Concrete
chisel:concrete_blue1:1, Blue Concrete
chisel:concrete_blue1:2, Blue Concrete
chisel:concrete_blue1:3, Blue Concrete
chisel:concrete_blue1:4, Blue Concrete
chisel:concrete_blue1:5, Blue Concrete
chisel:concrete_blue1:6, Blue Concrete
chisel:concrete_blue1:7, Blue Concrete
chisel:concrete_blue1:8, Blue Concrete
chisel:concrete_blue1:9, Blue Concrete
chisel:concrete_blue1:10, Blue Concrete
chisel:concrete_blue1:11, Blue Concrete
chisel:concrete_blue1:12, Blue Concrete
chisel:concrete_blue1:13, Blue Concrete
chisel:concrete_blue1:14, Blue Concrete
chisel:concrete_blue1:15, Blue Concrete
chisel:concrete_blue2:0, Blue Concrete
chisel:concrete_purple:0, Purple Concrete
chisel:concrete_purple:1, Purple Concrete
chisel:concrete_purple:2, Purple Concrete
chisel:concrete_purple:3, Purple Concrete
chisel:concrete_purple:4, Purple Concrete
chisel:concrete_purple:5, Purple Concrete
chisel:concrete_purple:6, Purple Concrete
chisel:concrete_purple:7, Purple Concrete
chisel:concrete_purple:8, Purple Concrete
chisel:concrete_purple:9, Purple Concrete
chisel:concrete_purple:10, Purple Concrete
chisel:concrete_purple:11, Purple Concrete
chisel:concrete_purple:12, Purple Concrete
chisel:concrete_purple:13, Purple Concrete
chisel:concrete_purple:14, Purple Concrete
chisel:concrete_purple:15, Purple Concrete
chisel:concrete_purple1:0, Purple Concrete
chisel:concrete_purple1:1, Purple Concrete
chisel:concrete_purple1:2, Purple Concrete
chisel:concrete_purple1:3, Purple Concrete
chisel:concrete_purple1:4, Purple Concrete
chisel:concrete_purple1:5, Purple Concrete
chisel:concrete_purple1:6, Purple Concrete
chisel:concrete_purple1:7, Purple Concrete
chisel:concrete_purple1:8, Purple Concrete
chisel:concrete_purple1:9, Purple Concrete
chisel:concrete_purple1:10, Purple Concrete
chisel:concrete_purple1:11, Purple Concrete
chisel:concrete_purple1:12, Purple Concrete
chisel:concrete_purple1:13, Purple Concrete
chisel:concrete_purple1:14, Purple Concrete
chisel:concrete_purple1:15, Purple Concrete
chisel:concrete_purple2:0, Purple Concrete
chisel:concrete_cyan:0, Cyan Concrete
chisel:concrete_cyan:1, Cyan Concrete
chisel:concrete_cyan:2, Cyan Concrete
chisel:concrete_cyan:3, Cyan Concrete
chisel:concrete_cyan:4, Cyan Concrete
chisel:concrete_cyan:5, Cyan Concrete
chisel:concrete_cyan:6, Cyan Concrete
chisel:concrete_cyan:7, Cyan Concrete
chisel:concrete_cyan:8, Cyan Concrete
chisel:concrete_cyan:9, Cyan Concrete
chisel:concrete_cyan:10, Cyan Concrete
chisel:concrete_cyan:11, Cyan Concrete
chisel:concrete_cyan:12, Cyan Concrete
chisel:concrete_cyan:13, Cyan Concrete
chisel:concrete_cyan:14, Cyan Concrete
chisel:concrete_cyan:15, Cyan Concrete
chisel:concrete_cyan1:0, Cyan Concrete
chisel:concrete_cyan1:1, Cyan Concrete
chisel:concrete_cyan1:2, Cyan Concrete
chisel:concrete_cyan1:3, Cyan Concrete
chisel:concrete_cyan1:4, Cyan Concrete
chisel:concrete_cyan1:5, Cyan Concrete
chisel:concrete_cyan1:6, Cyan Concrete
chisel:concrete_cyan1:7, Cyan Concrete
chisel:concrete_cyan1:8, Cyan Concrete
chisel:concrete_cyan1:9, Cyan Concrete
chisel:concrete_cyan1:10, Cyan Concrete
chisel:concrete_cyan1:11, Cyan Concrete
chisel:concrete_cyan1:12, Cyan Concrete
chisel:concrete_cyan1:13, Cyan Concrete
chisel:concrete_cyan1:14, Cyan Concrete
chisel:concrete_cyan1:15, Cyan Concrete
chisel:concrete_cyan2:0, Cyan Concrete
chisel:concrete_lightgray:0, Light Gray Concrete
chisel:concrete_lightgray:1, Light Gray Concrete
chisel:concrete_lightgray:2, Light Gray Concrete
chisel:concrete_lightgray:3, Light Gray Concrete
chisel:concrete_lightgray:4, Light Gray Concrete
chisel:concrete_lightgray:5, Light Gray Concrete
chisel:concrete_lightgray:6, Light Gray Concrete
chisel:concrete_lightgray:7, Light Gray Concrete
chisel:concrete_lightgray:8, Light Gray Concrete
chisel:concrete_lightgray:9, Light Gray Concrete
chisel:concrete_lightgray:10, Light Gray Concrete
chisel:concrete_lightgray:11, Light Gray Concrete
chisel:concrete_lightgray:12, Light Gray Concrete
chisel:concrete_lightgray:13, Light Gray Concrete
chisel:concrete_lightgray:14, Light Gray Concrete
chisel:concrete_lightgray:15, Light Gray Concrete
chisel:concrete_lightgray1:0, Light Gray Concrete
chisel:concrete_lightgray1:1, Light Gray Concrete
chisel:concrete_lightgray1:2, Light Gray Concrete
chisel:concrete_lightgray1:3, Light Gray Concrete
chisel:concrete_lightgray1:4, Light Gray Concrete
chisel:concrete_lightgray1:5, Light Gray Concrete
chisel:concrete_lightgray1:6, Light Gray Concrete
chisel:concrete_lightgray1:7, Light Gray Concrete
chisel:concrete_lightgray1:8, Light Gray Concrete
chisel:concrete_lightgray1:9, Light Gray Concrete
chisel:concrete_lightgray1:10, Light Gray Concrete
chisel:concrete_lightgray1:11, Light Gray Concrete
chisel:concrete_lightgray1:12, Light Gray Concrete
chisel:concrete_lightgray1:13, Light Gray Concrete
chisel:concrete_lightgray1:14, Light Gray Concrete
chisel:concrete_lightgray1:15, Light Gray Concrete
chisel:concrete_lightgray2:0, Light Gray Concrete
chisel:concrete_gray:0, Gray Concrete
chisel:concrete_gray:1, Gray Concrete
chisel:concrete_gray:2, Gray Concrete
chisel:concrete_gray:3, Gray Concrete
chisel:concrete_gray:4, Gray Concrete
chisel:concrete_gray:5, Gray Concrete
chisel:concrete_gray:6, Gray Concrete
chisel:concrete_gray:7, Gray Concrete
chisel:concrete_gray:8, Gray Concrete
chisel:concrete_gray:9, Gray Concrete
chisel:concrete_gray:10, Gray Concrete
chisel:concrete_gray:11, Gray Concrete
chisel:concrete_gray:12, Gray Concrete
chisel:concrete_gray:13, Gray Concrete
chisel:concrete_gray:14, Gray Concrete
chisel:concrete_gray:15, Gray Concrete
chisel:concrete_gray1:0, Gray Concrete
chisel:concrete_gray1:1, Gray Concrete
chisel:concrete_gray1:2, Gray Concrete
chisel:concrete_gray1:3, Gray Concrete
chisel:concrete_gray1:4, Gray Concrete
chisel:concrete_gray1:5, Gray Concrete
chisel:concrete_gray1:6, Gray Concrete
chisel:concrete_gray1:7, Gray Concrete
chisel:concrete_gray1:8, Gray Concrete
chisel:concrete_gray1:9, Gray Concrete
chisel:concrete_gray1:10, Gray Concrete
chisel:concrete_gray1:11, Gray Concrete
chisel:concrete_gray1:12, Gray Concrete
chisel:concrete_gray1:13, Gray Concrete
chisel:concrete_gray1:14, Gray Concrete
chisel:concrete_gray1:15, Gray Concrete
chisel:concrete_gray2:0, Gray Concrete
chisel:concrete_pink:0, Pink Concrete
chisel:concrete_pink:1, Pink Concrete
chisel:concrete_pink:2, Pink Concrete
chisel:concrete_pink:3, Pink Concrete
chisel:concrete_pink:4, Pink Concrete
chisel:concrete_pink:5, Pink Concrete
chisel:concrete_pink:6, Pink Concrete
chisel:concrete_pink:7, Pink Concrete
chisel:concrete_pink:8, Pink Concrete
chisel:concrete_pink:9, Pink Concrete
chisel:concrete_pink:10, Pink Concrete
chisel:concrete_pink:11, Pink Concrete
chisel:concrete_pink:12, Pink Concrete
chisel:concrete_pink:13, Pink Concrete
chisel:concrete_pink:14, Pink Concrete
chisel:concrete_pink:15, Pink Concrete
chisel:concrete_pink1:0, Pink Concrete
chisel:concrete_pink1:1, Pink Concrete
chisel:concrete_pink1:2, Pink Concrete
chisel:concrete_pink1:3, Pink Concrete
chisel:concrete_pink1:4, Pink Concrete
chisel:concrete_pink1:5, Pink Concrete
chisel:concrete_pink1:6, Pink Concrete
chisel:concrete_pink1:7, Pink Concrete
chisel:concrete_pink1:8, Pink Concrete
chisel:concrete_pink1:9, Pink Concrete
chisel:concrete_pink1:10, Pink Concrete
chisel:concrete_pink1:11, Pink Concrete
chisel:concrete_pink1:12, Pink Concrete
chisel:concrete_pink1:13, Pink Concrete
chisel:concrete_pink1:14, Pink Concrete
chisel:concrete_pink1:15, Pink Concrete
chisel:concrete_pink2:0, Pink Concrete
chisel:concrete_lime:0, Lime Concrete
chisel:concrete_lime:1, Lime Concrete
chisel:concrete_lime:2, Lime Concrete
chisel:concrete_lime:3, Lime Concrete
chisel:concrete_lime:4, Lime Concrete
chisel:concrete_lime:5, Lime Concrete
chisel:concrete_lime:6, Lime Concrete
chisel:concrete_lime:7, Lime Concrete
chisel:concrete_lime:8, Lime Concrete
chisel:concrete_lime:9, Lime Concrete
chisel:concrete_lime:10, Lime Concrete
chisel:concrete_lime:11, Lime Concrete
chisel:concrete_lime:12, Lime Concrete
chisel:concrete_lime:13, Lime Concrete
chisel:concrete_lime:14, Lime Concrete
chisel:concrete_lime:15, Lime Concrete
chisel:concrete_lime1:0, Lime Concrete
chisel:concrete_lime1:1, Lime Concrete
chisel:concrete_lime1:2, Lime Concrete
chisel:concrete_lime1:3, Lime Concrete
chisel:concrete_lime1:4, Lime Concrete
chisel:concrete_lime1:5, Lime Concrete
chisel:concrete_lime1:6, Lime Concrete
chisel:concrete_lime1:7, Lime Concrete
chisel:concrete_lime1:8, Lime Concrete
chisel:concrete_lime1:9, Lime Concrete
chisel:concrete_lime1:10, Lime Concrete
chisel:concrete_lime1:11, Lime Concrete
chisel:concrete_lime1:12, Lime Concrete
chisel:concrete_lime1:13, Lime Concrete
chisel:concrete_lime1:14, Lime Concrete
chisel:concrete_lime1:15, Lime Concrete
chisel:concrete_lime2:0, Lime Concrete
chisel:concrete_yellow:0, Yellow Concrete
chisel:concrete_yellow:1, Yellow Concrete
chisel:concrete_yellow:2, Yellow Concrete
chisel:concrete_yellow:3, Yellow Concrete
chisel:concrete_yellow:4, Yellow Concrete
chisel:concrete_yellow:5, Yellow Concrete
chisel:concrete_yellow:6, Yellow Concrete
chisel:concrete_yellow:7, Yellow Concrete
chisel:concrete_yellow:8, Yellow Concrete
chisel:concrete_yellow:9, Yellow Concrete
chisel:concrete_yellow:10, Yellow Concrete
chisel:concrete_yellow:11, Yellow Concrete
chisel:concrete_yellow:12, Yellow Concrete
chisel:concrete_yellow:13, Yellow Concrete
chisel:concrete_yellow:14, Yellow Concrete
chisel:concrete_yellow:15, Yellow Concrete
chisel:concrete_yellow1:0, Yellow Concrete
chisel:concrete_yellow1:1, Yellow Concrete
chisel:concrete_yellow1:2, Yellow Concrete
chisel:concrete_yellow1:3, Yellow Concrete
chisel:concrete_yellow1:4, Yellow Concrete
chisel:concrete_yellow1:5, Yellow Concrete
chisel:concrete_yellow1:6, Yellow Concrete
chisel:concrete_yellow1:7, Yellow Concrete
chisel:concrete_yellow1:8, Yellow Concrete
chisel:concrete_yellow1:9, Yellow Concrete
chisel:concrete_yellow1:10, Yellow Concrete
chisel:concrete_yellow1:11, Yellow Concrete
chisel:concrete_yellow1:12, Yellow Concrete
chisel:concrete_yellow1:13, Yellow Concrete
chisel:concrete_yellow1:14, Yellow Concrete
chisel:concrete_yellow1:15, Yellow Concrete
chisel:concrete_yellow2:0, Yellow Concrete
chisel:concrete_lightblue:0, Light Blue Concrete
chisel:concrete_lightblue:1, Light Blue Concrete
chisel:concrete_lightblue:2, Light Blue Concrete
chisel:concrete_lightblue:3, Light Blue Concrete
chisel:concrete_lightblue:4, Light Blue Concrete
chisel:concrete_lightblue:5, Light Blue Concrete
chisel:concrete_lightblue:6, Light Blue Concrete
chisel:concrete_lightblue:7, Light Blue Concrete
chisel:concrete_lightblue:8, Light Blue Concrete
chisel:concrete_lightblue:9, Light Blue Concrete
chisel:concrete_lightblue:10, Light Blue Concrete
chisel:concrete_lightblue:11, Light Blue Concrete
chisel:concrete_lightblue:12, Light Blue Concrete
chisel:concrete_lightblue:13, Light Blue Concrete
chisel:concrete_lightblue:14, Light Blue Concrete
chisel:concrete_lightblue:15, Light Blue Concrete
chisel:concrete_lightblue1:0, Light Blue Concrete
chisel:concrete_lightblue1:1, Light Blue Concrete
chisel:concrete_lightblue1:2, Light Blue Concrete
chisel:concrete_lightblue1:3, Light Blue Concrete
chisel:concrete_lightblue1:4, Light Blue Concrete
chisel:concrete_lightblue1:5, Light Blue Concrete
chisel:concrete_lightblue1:6, Light Blue Concrete
chisel:concrete_lightblue1:7, Light Blue Concrete
chisel:concrete_lightblue1:8, Light Blue Concrete
chisel:concrete_lightblue1:9, Light Blue Concrete
chisel:concrete_lightblue1:10, Light Blue Concrete
chisel:concrete_lightblue1:11, Light Blue Concrete
chisel:concrete_lightblue1:12, Light Blue Concrete
chisel:concrete_lightblue1:13, Light Blue Concrete
chisel:concrete_lightblue1:14, Light Blue Concrete
chisel:concrete_lightblue1:15, Light Blue Concrete
chisel:concrete_lightblue2:0, Light Blue Concrete
chisel:concrete_magenta:0, Magenta Concrete
chisel:concrete_magenta:1, Magenta Concrete
chisel:concrete_magenta:2, Magenta Concrete
chisel:concrete_magenta:3, Magenta Concrete
chisel:concrete_magenta:4, Magenta Concrete
chisel:concrete_magenta:5, Magenta Concrete
chisel:concrete_magenta:6, Magenta Concrete
chisel:concrete_magenta:7, Magenta Concrete
chisel:concrete_magenta:8, Magenta Concrete
chisel:concrete_magenta:9, Magenta Concrete
chisel:concrete_magenta:10, Magenta Concrete
chisel:concrete_magenta:11, Magenta Concrete
chisel:concrete_magenta:12, Magenta Concrete
chisel:concrete_magenta:13, Magenta Concrete
chisel:concrete_magenta:14, Magenta Concrete
chisel:concrete_magenta:15, Magenta Concrete
chisel:concrete_magenta1:0, Magenta Concrete
chisel:concrete_magenta1:1, Magenta Concrete
chisel:concrete_magenta1:2, Magenta Concrete
chisel:concrete_magenta1:3, Magenta Concrete
chisel:concrete_magenta1:4, Magenta Concrete
chisel:concrete_magenta1:5, Magenta Concrete
chisel:concrete_magenta1:6, Magenta Concrete
chisel:concrete_magenta1:7, Magenta Concrete
chisel:concrete_magenta1:8, Magenta Concrete
chisel:concrete_magenta1:9, Magenta Concrete
chisel:concrete_magenta1:10, Magenta Concrete
chisel:concrete_magenta1:11, Magenta Concrete
chisel:concrete_magenta1:12, Magenta Concrete
chisel:concrete_magenta1:13, Magenta Concrete
chisel:concrete_magenta1:14, Magenta Concrete
chisel:concrete_magenta1:15, Magenta Concrete
chisel:concrete_magenta2:0, Magenta Concrete
chisel:concrete_orange:0, Orange Concrete
chisel:concrete_orange:1, Orange Concrete
chisel:concrete_orange:2, Orange Concrete
chisel:concrete_orange:3, Orange Concrete
chisel:concrete_orange:4, Orange Concrete
chisel:concrete_orange:5, Orange Concrete
chisel:concrete_orange:6, Orange Concrete
chisel:concrete_orange:7, Orange Concrete
chisel:concrete_orange:8, Orange Concrete
chisel:concrete_orange:9, Orange Concrete
chisel:concrete_orange:10, Orange Concrete
chisel:concrete_orange:11, Orange Concrete
chisel:concrete_orange:12, Orange Concrete
chisel:concrete_orange:13, Orange Concrete
chisel:concrete_orange:14, Orange Concrete
chisel:concrete_orange:15, Orange Concrete
chisel:concrete_orange1:0, Orange Concrete
chisel:concrete_orange1:1, Orange Concrete
chisel:concrete_orange1:2, Orange Concrete
chisel:concrete_orange1:3, Orange Concrete
chisel:concrete_orange1:4, Orange Concrete
chisel:concrete_orange1:5, Orange Concrete
chisel:concrete_orange1:6, Orange Concrete
chisel:concrete_orange1:7, Orange Concrete
chisel:concrete_orange1:8, Orange Concrete
chisel:concrete_orange1:9, Orange Concrete
chisel:concrete_orange1:10, Orange Concrete
chisel:concrete_orange1:11, Orange Concrete
chisel:concrete_orange1:12, Orange Concrete
chisel:concrete_orange1:13, Orange Concrete
chisel:concrete_orange1:14, Orange Concrete
chisel:concrete_orange1:15, Orange Concrete
chisel:concrete_orange2:0, Orange Concrete
chisel:concrete_white:0, White Concrete
chisel:concrete_white:1, White Concrete
chisel:concrete_white:2, White Concrete
chisel:concrete_white:3, White Concrete
chisel:concrete_white:4, White Concrete
chisel:concrete_white:5, White Concrete
chisel:concrete_white:6, White Concrete
chisel:concrete_white:7, White Concrete
chisel:concrete_white:8, White Concrete
chisel:concrete_white:9, White Concrete
chisel:concrete_white:10, White Concrete
chisel:concrete_white:11, White Concrete
chisel:concrete_white:12, White Concrete
chisel:concrete_white:13, White Concrete
chisel:concrete_white:14, White Concrete
chisel:concrete_white:15, White Concrete
chisel:concrete_white1:0, White Concrete
chisel:concrete_white1:1, White Concrete
chisel:concrete_white1:2, White Concrete
chisel:concrete_white1:3, White Concrete
chisel:concrete_white1:4, White Concrete
chisel:concrete_white1:5, White Concrete
chisel:concrete_white1:6, White Concrete
chisel:concrete_white1:7, White Concrete
chisel:concrete_white1:8, White Concrete
chisel:concrete_white1:9, White Concrete
chisel:concrete_white1:10, White Concrete
chisel:concrete_white1:11, White Concrete
chisel:concrete_white1:12, White Concrete
chisel:concrete_white1:13, White Concrete
chisel:concrete_white1:14, White Concrete
chisel:concrete_white1:15, White Concrete
chisel:concrete_white2:0, White Concrete
chisel:blockcopper:0, Block of Copper
chisel:blockcopper:1, Block of Copper
chisel:blockcopper:2, Block of Copper
chisel:blockcopper:3, Block of Copper
chisel:blockcopper:4, Block of Copper
chisel:blockcopper:5, Block of Copper
chisel:blockcopper:6, Block of Copper
chisel:diamond:0, Block of Diamond
chisel:diamond:1, Block of Diamond
chisel:diamond:2, Block of Diamond
chisel:diamond:3, Block of Diamond
chisel:diamond:4, Block of Diamond
chisel:diamond:5, Block of Diamond
chisel:diamond:6, Block of Diamond
chisel:diamond:7, Block of Diamond
chisel:diamond:8, Block of Diamond
chisel:diamond:9, Block of Diamond
chisel:diamond:10, Block of Diamond
chisel:diamond:11, Block of Diamond
chisel:diorite:0, Diorite
chisel:diorite:1, Diorite
chisel:diorite:2, Diorite
chisel:diorite:3, Diorite
chisel:diorite:4, Diorite
chisel:diorite:5, Diorite
chisel:diorite:6, Diorite
chisel:diorite:7, Diorite
chisel:diorite:8, Diorite
chisel:diorite:9, Diorite
chisel:diorite:10, Diorite
chisel:diorite:11, Diorite
chisel:diorite:12, Diorite
chisel:diorite:13, Diorite
chisel:diorite:14, Diorite
chisel:diorite:15, Diorite
chisel:diorite1:0, Diorite
chisel:diorite1:1, Diorite
chisel:diorite1:2, Diorite
chisel:diorite1:3, Diorite
chisel:diorite1:4, Diorite
chisel:diorite1:5, Diorite
chisel:diorite1:6, Diorite
chisel:diorite1:7, Diorite
chisel:diorite1:8, Diorite
chisel:diorite1:9, Diorite
chisel:diorite1:10, Diorite
chisel:diorite1:11, Diorite
chisel:diorite1:12, Diorite
chisel:diorite1:13, Diorite
chisel:diorite1:14, Diorite
chisel:diorite1:15, Diorite
chisel:diorite2:0, Diorite
chisel:dirt:0, Dirt
chisel:dirt:1, Dirt
chisel:dirt:2, Dirt
chisel:dirt:3, Dirt
chisel:dirt:4, Dirt
chisel:dirt:5, Dirt
chisel:dirt:6, Dirt
chisel:dirt:7, Dirt
chisel:dirt:8, Dirt
chisel:dirt:9, Dirt
chisel:dirt:10, Dirt
chisel:dirt:11, Dirt
chisel:dirt:12, Dirt
chisel:dirt:13, Dirt
chisel:dirt:14, Dirt
chisel:dirt:15, Dirt
chisel:blockelectrum:0, Block of Electrum
chisel:blockelectrum:1, Block of Electrum
chisel:blockelectrum:2, Block of Electrum
chisel:blockelectrum:3, Block of Electrum
chisel:blockelectrum:4, Block of Electrum
chisel:blockelectrum:5, Block of Electrum
chisel:blockelectrum:6, Block of Electrum
chisel:emerald:0, Block of Emerald
chisel:emerald:1, Block of Emerald
chisel:emerald:2, Block of Emerald
chisel:emerald:3, Block of Emerald
chisel:emerald:4, Block of Emerald
chisel:emerald:5, Block of Emerald
chisel:emerald:6, Block of Emerald
chisel:emerald:7, Block of Emerald
chisel:emerald:8, Block of Emerald
chisel:emerald:9, Block of Emerald
chisel:emerald:10, Block of Emerald
chisel:emerald:11, Block of Emerald
chisel:emerald:12, Block of Emerald
chisel:emerald:13, Block of Emerald
chisel:purpur:0, Purpur Block
chisel:purpur:1, Purpur Block
chisel:purpur:2, Purpur Block
chisel:purpur:3, Purpur Block
chisel:purpur:4, Purpur Block
chisel:purpur:5, Purpur Block
chisel:purpur:6, Purpur Block
chisel:purpur:7, Purpur Block
chisel:purpur:8, Purpur Block
chisel:purpur:9, Purpur Block
chisel:purpur:10, Purpur Block
chisel:purpur:11, Purpur Block
chisel:purpur:12, Purpur Block
chisel:purpur:13, Purpur Block
chisel:purpur:14, Purpur Block
chisel:purpur:15, Purpur Block
chisel:purpur1:0, Purpur Block
chisel:purpur1:1, Purpur Block
chisel:purpur1:2, Purpur Block
chisel:purpur1:3, Purpur Block
chisel:purpur1:4, Purpur Block
chisel:purpur1:5, Purpur Block
chisel:purpur1:6, Purpur Block
chisel:purpur1:7, Purpur Block
chisel:purpur1:8, Purpur Block
chisel:purpur1:9, Purpur Block
chisel:purpur2:0, Purpur Block
chisel:purpur2:1, Purpur Block
chisel:purpur2:2, Purpur Block
chisel:purpur2:3, Purpur Block
chisel:purpur2:4, Purpur Block
chisel:endstone:0, Endstone
chisel:endstone:1, Endstone
chisel:endstone:2, Endstone
chisel:endstone:3, Endstone
chisel:endstone:4, Endstone
chisel:endstone:5, Endstone
chisel:endstone:6, Endstone
chisel:endstone:7, Endstone
chisel:endstone:8, Endstone
chisel:endstone:9, Endstone
chisel:endstone:10, Endstone
chisel:endstone:11, Endstone
chisel:endstone:12, Endstone
chisel:endstone:13, Endstone
chisel:endstone:14, Endstone
chisel:endstone:15, Endstone
chisel:endstone1:0, Endstone
chisel:endstone1:1, Endstone
chisel:endstone1:2, Endstone
chisel:endstone1:3, Endstone
chisel:endstone1:4, Endstone
chisel:endstone1:5, Endstone
chisel:endstone1:6, Endstone
chisel:endstone1:7, Endstone
chisel:endstone1:8, Endstone
chisel:endstone1:9, Endstone
chisel:endstone2:0, Endstone
chisel:endstone2:1, Endstone
chisel:endstone2:2, Endstone
chisel:endstone2:3, Endstone
chisel:endstone2:4, Endstone
chisel:endstone2:5, Endstone
chisel:endstone2:6, Endstone
chisel:factory:0, Factory Block
chisel:factory:1, Factory Block
chisel:factory:2, Factory Block
chisel:factory:3, Factory Block
chisel:factory:4, Factory Block
chisel:factory:5, Factory Block
chisel:factory:6, Factory Block
chisel:factory:7, Factory Block
chisel:factory:8, Factory Block
chisel:factory:9, Factory Block
chisel:factory:10, Factory Block
chisel:factory:11, Factory Block
chisel:factory:12, Factory Block
chisel:factory:13, Factory Block
chisel:factory:14, Factory Block
chisel:factory:15, Factory Block
chisel:factory1:0, Factory Block
chisel:factory1:1, Factory Block
chisel:factory1:2, Factory Block
chisel:factory1:3, Factory Block
chisel:factory1:4, Factory Block
chisel:futura:0, Futura Block
chisel:futura:1, Futura Block
chisel:futura:2, Futura Block
chisel:futura:3, Futura Block
chisel:futura:4, Futura Block
chisel:futura:5, Futura Block
chisel:glass:0, Glass
chisel:glass:1, Glass
chisel:glass:2, Glass
chisel:glass:3, Glass
chisel:glass:4, Glass
chisel:glass:5, Glass
chisel:glass:6, Glass
chisel:glass:7, Glass
chisel:glass:8, Glass
chisel:glass:9, Glass
chisel:glass:10, Glass
chisel:glass:11, Glass
chisel:glass:12, Glass
chisel:glass:13, Glass
chisel:glass:14, Glass
chisel:glass:15, Glass
chisel:glass1:0, Glass
chisel:glass1:1, Glass
chisel:glasspane:0, Glass Pane
chisel:glasspane:1, Glass Pane
chisel:glasspane:2, Glass Pane
chisel:glasspane:3, Glass Pane
chisel:glasspane:4, Glass Pane
chisel:glasspane:5, Glass Pane
chisel:glasspane:6, Glass Pane
chisel:glasspane:7, Glass Pane
chisel:glasspane:8, Glass Pane
chisel:glasspane:9, Glass Pane
chisel:glasspane:10, Glass Pane
chisel:glasspane:11, Glass Pane
chisel:glasspane:12, Glass Pane
chisel:glasspane:13, Glass Pane
chisel:glasspane:14, Glass Pane
chisel:glasspane:15, Glass Pane
chisel:glasspane1:0, Glass Pane
chisel:glasspane1:1, Glass Pane
chisel:glassdyedblack:0, Black Stained Glass
chisel:glassdyedblack:1, Black Stained Glass
chisel:glassdyedblack:2, Black Stained Glass
chisel:glassdyedblack:3, Black Stained Glass
chisel:glassdyedblack:4, Black Stained Glass
chisel:glassdyedblack:5, Black Stained Glass
chisel:glasspanedyedblack:0, Black Stained Glass Pane
chisel:glasspanedyedblack:1, Black Stained Glass Pane
chisel:glasspanedyedblack:2, Black Stained Glass Pane
chisel:glasspanedyedblack:3, Black Stained Glass Pane
chisel:glasspanedyedblack:4, Black Stained Glass Pane
chisel:glasspanedyedblack:5, Black Stained Glass Pane
chisel:glassdyedred:0, Red Stained Glass
chisel:glassdyedred:1, Red Stained Glass
chisel:glassdyedred:2, Red Stained Glass
chisel:glassdyedred:3, Red Stained Glass
chisel:glassdyedred:4, Red Stained Glass
chisel:glassdyedred:5, Red Stained Glass
chisel:glasspanedyedred:0, Red Stained Glass Pane
chisel:glasspanedyedred:1, Red Stained Glass Pane
chisel:glasspanedyedred:2, Red Stained Glass Pane
chisel:glasspanedyedred:3, Red Stained Glass Pane
chisel:glasspanedyedred:4, Red Stained Glass Pane
chisel:glasspanedyedred:5, Red Stained Glass Pane
chisel:glassdyedgreen:0, Green Stained Glass
chisel:glassdyedgreen:1, Green Stained Glass
chisel:glassdyedgreen:2, Green Stained Glass
chisel:glassdyedgreen:3, Green Stained Glass
chisel:glassdyedgreen:4, Green Stained Glass
chisel:glassdyedgreen:5, Green Stained Glass
chisel:glasspanedyedgreen:0, Green Stained Glass Pane
chisel:glasspanedyedgreen:1, Green Stained Glass Pane
chisel:glasspanedyedgreen:2, Green Stained Glass Pane
chisel:glasspanedyedgreen:3, Green Stained Glass Pane
chisel:glasspanedyedgreen:4, Green Stained Glass Pane
chisel:glasspanedyedgreen:5, Green Stained Glass Pane
chisel:glassdyedbrown:0, Brown Stained Glass
chisel:glassdyedbrown:1, Brown Stained Glass
chisel:glassdyedbrown:2, Brown Stained Glass
chisel:glassdyedbrown:3, Brown Stained Glass
chisel:glassdyedbrown:4, Brown Stained Glass
chisel:glassdyedbrown:5, Brown Stained Glass
chisel:glasspanedyedbrown:0, Brown Stained Glass Pane
chisel:glasspanedyedbrown:1, Brown Stained Glass Pane
chisel:glasspanedyedbrown:2, Brown Stained Glass Pane
chisel:glasspanedyedbrown:3, Brown Stained Glass Pane
chisel:glasspanedyedbrown:4, Brown Stained Glass Pane
chisel:glasspanedyedbrown:5, Brown Stained Glass Pane
chisel:glassdyedblue:0, Blue Stained Glass
chisel:glassdyedblue:1, Blue Stained Glass
chisel:glassdyedblue:2, Blue Stained Glass
chisel:glassdyedblue:3, Blue Stained Glass
chisel:glassdyedblue:4, Blue Stained Glass
chisel:glassdyedblue:5, Blue Stained Glass
chisel:glasspanedyedblue:0, Blue Stained Glass Pane
chisel:glasspanedyedblue:1, Blue Stained Glass Pane
chisel:glasspanedyedblue:2, Blue Stained Glass Pane
chisel:glasspanedyedblue:3, Blue Stained Glass Pane
chisel:glasspanedyedblue:4, Blue Stained Glass Pane
chisel:glasspanedyedblue:5, Blue Stained Glass Pane
chisel:glassdyedpurple:0, Purple Stained Glass
